Column_Name,DataType,Input,MaxLength,Description,Default,Mapping Type,Mapping Value
Creditrate change Application date option,VARCHAR,Input,50,Stores CASA Account Variation Generic code for Rate Change Application Date Variation. Generic code parent is CASARATECHANGEAPPDATEOPTION,From Rate Change Date,,
Is Credit Variation Rate Applicable,VARCHAR,Input,1,"If Y, rate from UBVARIATIONINTRATE column of INTERESTBASECODE table will be used else rate from INTRATE column will be used.",N,,
Debit Interest Margin Type,VARCHAR,Input,30,Credit interest margin type. Either fixed(FLATVALUE) or percentage(PERCENT) margin,Flat Value,,
Debit Interest Margin Enabled,VARCHAR,Input,1,Indicates whether Credit Interest Margin will be enabled for modifications. It is inherited from product level.,Y,,
Debitrate change Application date option,VARCHAR,Input,50,Stores CASA Account Variation Generic code for Rate Change Application Date Variation. Generic code parent is CASARATECHANGEAPPDATEOPTION,From Rate Change Date,,
Is Debit Variation Rate Applicable,VARCHAR,Input,1,"If Y, rate from UBVARIATIONINTRATE column of INTERESTBASECODE table will be used else rate from INTRATE column will be used.",N,,
Is excluded from dormancy marking,VARCHAR,Input,1,Flag to indicate whether account is excluded from dormancy marking EOD.  {N} means account should get processed and {Y} means account should not be considered for dormancy processing.,N,,
JointAccountOwnershipPercentage,DECIMAL,Input,24,Specifying Ownership percentage for each customer in joint account,0.00,,
Consolidated Bulk Payment,VARCHAR,Default,50,"Represents Consolidated DR Bulk Payment (ie., Yes or No)",,,
Significant Excess Amount,DECIMAL,Default,,Represents Significant Excess Amount,0,CONSTANT,0
Notice Free Withdrawl Amount,DECIMAL,Default,,Represents Notice Free Withdrawl Amount,0,CONSTANT,0
FAB Applicable,VARCHAR,Default,1,FAB Applicable,Y,CONSTANT,Y
Cooling OFF End Date,DATE,Default,,Cooling OFF End Date,,,
Is Other Bank Funding Account for Debit,VARCHAR,Default,1,Is Other Bank Funding Account for Debit,N,CONSTANT,N
Customer Base Margin,DECIMAL,Default,,Customer base margin,0,CONSTANT,0
Is Other Bank Funding Account for Credit,VARCHAR,Default,1,Is Other Bank Funding Account for Credit,N,CONSTANT,N
